doy,pond,treatment,period,time,temp,dosat,do,secchi,secchi_flag,pH,cond,chl,pc,zoop_tow_depth
115,A,No,pre,11:52,16,126.9,12.53,0.74,,8.51,363.2,22.4,0.5,1
115,B,High,pre,12:12,16,123.2,12.18,0.81,,8.62,364.7,19.7,0.49,1
115,C,Low,pre,12:25,15.9,124.3,12.29,0.81,,8.64,370,16.3,0.52,1
115,D,No,pre,12:37,15.9,128.6,12.72,0.85,,8.67,368.5,18.1,0.57,1
115,E,Low,pre,12:50,16.1,121.1,12.4,0.79,,8.71,355.8,31.99,0.51,1
115,F,High,pre,13:01,16.1,138.9,12.69,0.74,,8.76,356.2,24.9,0.37,1
118,A,No,pre,2:00,11.6,106,11.6,0.55,,8.46,358.3,15.4,0.41,2
118,B,High,pre,2:10,11.2,105.1,11.56,0.61,,8.5,352.4,15.5,0.38,2
118,C,Low,pre,2:20,11.4,105.7,11.57,0.62,,8.49,358.6,14.2,0.4,1.5
118,D,No,pre,2:30,11.3,106.1,11.65,0.58,,8.49,357.6,16.15,0.41,1.9
118,E,Low,pre,2:40,11.5,101.6,11.09,0.61,,8.36,347.9,12.16,0.24,2
118,F,High,pre,2:50,11.7,96.3,10.45,0.7,,8.41,353,8.02,0.19,2
121,A,No,pre,10:25,11.4,100,10.91,0.75,,8.59,352,26.8,0.36,1
121,B,High,pre,10:07,11.3,100.9,11.03,0.88,,8.62,345.4,23.9,0.39,0.9
121,C,Low,pre,9:52,11.4,100.7,10.98,0.95,,8.56,352.5,20.3,0.29,0.9
121,D,No,pre,9:36,11.5,99.8,10.88,0.91,,8.53,351.8,25.1,0.37,0.9
121,E,Low,pre,9:18,11.6,94.8,10.31,1.05,,8.49,342.1,17.6,0.27,1
121,F,High,pre,9:03,11.8,88.3,9.56,1.47,,8.41,348.6,6.4,0.19,1
124,A,No,add1,12:20,14.1,117.9,12.14,1.11,,8.67,349.1,7.4,0.17,1
124,B,High,add1,12:00,14,118.7,12.23,1.32,,8.71,340.6,7.22,0.19,1
124,C,Low,add1,11:42,13.9,117.6,12.14,1.31,,8.65,346.5,3.81,0.15,1
124,D,No,add1,11:24,13.8,118.4,12.26,1.16,,8.63,345.7,8.51,0.17,1
124,E,Low,add1,11:02,13.7,103.9,10.77,1.71,Bottom,8.48,339,2.81,0.11,1
124,F,High,add1,10:40,13.7,102.6,10.64,1.74,Bottom,8.42,345.4,1.3,0.12,1
127,A,No,add1,12:17,16.9,109.6,10.61,0.81,,8.51,345.6,3.9,0.11,1
127,B,High,add1,12:35,17.1,107.1,10.32,1.07,,8.54,336.7,1.8,0.1,1
127,C,Low,add1,13:48,17.1,111.8,10.77,1.66,Bottom,8.56,342.6,1.9,0.09,1
127,D,No,add1,13:02,17.3,118.1,11.36,1.53,Bottom,8.52,338.9,5.4,0.12,1
127,E,Low,add1,13:16,17.1,105.2,10.14,1.52,,8.47,335,1.1,0.08,1
127,F,High,add1,13:29,17.1,112.6,10.85,1.5,Bottom,8.57,339.1,2.2,0.1,1
130,A,No,add2,12:13,14.6,92.5,9.45,0.81,,8.48,342.5,2.3,0.16,1
130,B,High,add2,12:00,13.2,97.3,10.2,1,,8.58,333.4,4.6,0.32,1
130,C,Low,add2,11:43,14,101,10.41,1.3,,8.52,335.9,0.5,0.08,1
130,D,No,add2,11:30,13.2,101.1,10.52,1.22,,8.56,330.5,0.9,0.1,1
130,E,Low,add2,11:18,13.3,98.3,10.28,0.91,,8.46,328.3,4.2,0.35,1
130,F,High,add2,11:02,12.8,96,10.08,0.95,,8.49,334.4,2.5,0.23,1
133,A,No,add2,11:10,13.9,103.6,10.69,1.3,,8.58,341.2,1.4,0.16,1
133,B,High,add2,10:56,13.9,109.9,11.35,1.35,,8.69,328.3,1.8,0.17,1
133,C,Low,add2,10:43,14,118,12.16,1.72,Bottom,8.69,331.7,1,0.12,1
133,D,No,add2,10:32,14.2,120.6,12.45,1.48,Bottom,8.73,323.6,1.3,0.12,1
133,E,Low,add2,10:22,14,118.1,12.17,1.58,Bottom,8.65,321.8,1.5,0.17,1
133,F,High,add2,10:10,14.1,112.2,11.53,1.64,Bottom,8.62,328,1.6,0.17,1
136,A,No,add2,11:22,20.1,112.6,10.23,1.35,,8.56,341.4,1.59,0.08,
136,B,High,add2,11:18,20.3,122.5,10.74,1.04,,8.67,324.3,2.03,0.07,
136,C,Low,add2,11:14,19.9,125.1,11.44,1.72,Bottom,8.74,323.6,1.14,0.06,
136,D,No,add2,11:09,19.9,131,12.14,1.5,Bottom,8.8,315.3,0.62,0.02,
136,E,Low,add2,11:04,20.4,135,12.34,1.69,Bottom,8.8,307.3,1.31,0.07,
136,F,High,add2,10:56,20.5,138.2,12.64,1.71,Bottom,8.81,315.4,2.01,0.08,
139,A,No,add2,12:27,19,100.3,9.29,0.88,,8.57,320.1,1.73,0.09,
139,B,High,add2,12:21,19,105.3,9.76,0.88,,8.74,309,4.88,0.18,
139,C,Low,add2,12:17,19,112.4,10.42,1.06,,8.82,304.6,2.46,0.09,
139,D,No,add2,12:14,18.9,121.2,11.25,1.1,,8.95,287.8,1.45,0.06,
139,E,Low,add2,12:09,18.8,120.6,11.24,1.2,,9.01,279.9,0.89,0.03,
139,F,High,add2,12:04,18.9,117.4,10.9,1.23,,8.97,287.2,4.07,0.16,
142,A,No,add2,10:21,14.9,91.3,9.2,0.89,,8.46,316.5,1.21,0.12,1
142,B,High,add2,10:02,14.8,96.1,9.73,1.12,,8.75,300.3,3.25,0.17,1
142,C,Low,add2,9:48,14.8,104.3,10.56,1.32,,8.95,291.6,2.19,0.14,1
142,D,No,add2,9:31,14.6,106.4,10.82,1.08,,9.09,272,2.19,0.14,1
142,E,Low,add2,9:17,14.6,106.5,10.83,1.41,,9.15,264.8,0.83,0.14,1
142,F,High,add2,8:58,14.9,100.3,10.14,1.43,,8.95,277.2,3.3,0.2,1
145,A,No,add2,15:32,24.4,119.1,10.03,1.51,,8.74,300.8,1.42,0,
145,B,High,add2,15:26,24.3,135.2,11.34,0.89,,8.97,280.7,3.01,0.07,
145,C,Low,add2,15:21,24.2,147.7,12.42,1.29,,9.19,267.7,1.26,0.02,
